ranking_tipo,ranking_posicao,competencia_referencia,sg_uf,no_uf,previstas_uf,realizadas_uf,gap_previstas_menos_realizadas,taxa_execucao,evolucao_abs_realizadas,evolucao_pct_realizadas
top_pior_gap,1,2025-07,RJ,Rio de Janeiro,270657.0,138886.0,131771.0,0.5131439423329158,138710.0,788.125
top_pior_gap,2,2025-07,PA,Pará,42145.0,23379.0,18766.0,0.5547277257088623,23379.0,0.0
top_pior_gap,3,2025-07,PR,Paraná,45701.0,27592.0,18109.0,0.6037504649788845,27592.0,0.0
top_pior_gap,4,2025-07,MT,Mato Grosso,7958.0,4413.0,3545.0,0.5545363156572003,4413.0,0.0
top_pior_gap,5,2025-07,RS,Rio Grande do Sul,68770.0,67386.0,1384.0,0.9798749454704087,67386.0,0.0
top_pior_gap,6,2025-07,SE,Sergipe,11710.0,10590.0,1120.0,0.9043552519214346,10590.0,0.0
top_pior_gap,7,2025-07,AL,Alagoas,10059.0,9220.0,839.0,0.9165921065712297,9220.0,0.0
top_pior_gap,8,2025-07,AM,Amazonas,21916.0,21398.0,518.0,0.9763643000547545,21328.0,304.6857142857143
top_pior_gap,9,2025-07,DF,Distrito Federal,12365.0,12227.0,138.0,0.9888394662353417,12071.0,77.37820512820512
top_pior_gap,10,2025-07,RR,Roraima,5884.0,7045.0,-1161.0,1.1973147518694764,6722.0,20.811145510835914
top_melhor_evolucao_realizadas,1,2025-07,SC,Santa Catarina,95264.0,690547.0,-595283.0,7.248771834061135,690544.0,230181.33333333334
top_melhor_evolucao_realizadas,2,2025-07,MG,Minas Gerais,222010.0,357306.0,-135296.0,1.6094139903607945,357306.0,0.0
top_melhor_evolucao_realizadas,3,2025-07,SP,São Paulo,146578.0,346711.0,-200133.0,2.3653686092046557,346711.0,0.0
top_melhor_evolucao_realizadas,4,2025-07,RJ,Rio de Janeiro,270657.0,138886.0,131771.0,0.5131439423329158,138710.0,788.125
top_melhor_evolucao_realizadas,5,2025-07,PE,Pernambuco,62879.0,128293.0,-65414.0,2.040315526646416,128293.0,0.0
top_melhor_evolucao_realizadas,6,2025-07,PB,Paraíba,13311.0,127164.0,-113853.0,9.553301780482307,126546.0,204.76699029126215
top_melhor_evolucao_realizadas,7,2025-07,BA,Bahia,55034.0,106002.0,-50968.0,1.926118399534833,106002.0,0.0
top_melhor_evolucao_realizadas,8,2025-07,GO,Goiás,20840.0,105117.0,-84277.0,5.044001919385797,103584.0,67.56947162426614
top_melhor_evolucao_realizadas,9,2025-07,RS,Rio Grande do Sul,68770.0,67386.0,1384.0,0.9798749454704087,67386.0,0.0
top_melhor_evolucao_realizadas,10,2025-07,CE,Ceará,35858.0,59506.0,-23648.0,1.6594902113893693,59480.0,2287.6923076923076
