co_anomes,co_uf,no_municipio,sg_uf,no_uf,co_regiao_brasil,no_regiao_brasil,sg_regiao_brasil,vl_indicador_calculado_uf,vl_indicador_calculado_reg,vl_indicador_calculado_br,dt_competencia,dt_atualizacao,ds_unidade_medida,sg_granularidade,ds_granularidade,indicador,arquivo_origem
202507,11,,RO,Rondônia,1,Norte,N,8224.0,115079,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,12,,AC,Acre,1,Norte,N,11274.0,115079,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,13,,AM,Amazonas,1,Norte,N,21916.0,115079,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,14,,RR,Roraima,1,Norte,N,5884.0,115079,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,15,,PA,Pará,1,Norte,N,42145.0,115079,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,16,,AP,Amapá,1,Norte,N,6130.0,115079,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,17,,TO,Tocantins,1,Norte,N,19506.0,115079,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,21,,MA,Maranhão,2,Nordeste,NE,33056.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,22,,PI,Piauí,2,Nordeste,NE,8869.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,23,,CE,Ceará,2,Nordeste,NE,35858.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,24,,RN,Rio Grande do Norte,2,Nordeste,NE,11620.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,25,,PB,Paraíba,2,Nordeste,NE,13311.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,26,,PE,Pernambuco,2,Nordeste,NE,62879.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,27,,AL,Alagoas,2,Nordeste,NE,10059.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,28,,SE,Sergipe,2,Nordeste,NE,11710.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,29,,BA,Bahia,2,Nordeste,NE,55034.0,242396,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,31,,MG,Minas Gerais,3,Sudeste,SE,222010.0,644925,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,32,,ES,Espírito Santo,3,Sudeste,SE,5680.0,644925,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,33,,RJ,Rio de Janeiro,3,Sudeste,SE,270657.0,644925,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,35,,SP,São Paulo,3,Sudeste,SE,146578.0,644925,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,41,,PR,Paraná,4,Sul,S,45701.0,209735,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,42,,SC,Santa Catarina,4,Sul,S,95264.0,209735,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,43,,RS,Rio Grande do Sul,4,Sul,S,68770.0,209735,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,50,,MS,Mato Grosso do Sul,5,Centro-Oeste,CO,2399.0,43562,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,51,,MT,Mato Grosso,5,Centro-Oeste,CO,7958.0,43562,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,52,,GO,Goiás,5,Centro-Oeste,CO,20840.0,43562,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202507,53,,DF,Distrito Federal,5,Centro-Oeste,CO,12365.0,43562,1255697,2025-07-01 12:00:00,2026-02-28 03:06:44,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,11,,RO,Rondônia,1,Norte,N,8224.0,115079,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,12,,AC,Acre,1,Norte,N,11274.0,115079,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,13,,AM,Amazonas,1,Norte,N,21916.0,115079,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,14,,RR,Roraima,1,Norte,N,5884.0,115079,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,15,,PA,Pará,1,Norte,N,42145.0,115079,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,16,,AP,Amapá,1,Norte,N,6130.0,115079,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,17,,TO,Tocantins,1,Norte,N,19506.0,115079,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
202506,21,,MA,Maranhão,2,Nordeste,NE,33056.0,242396,1255697,2025-06-01 12:00:00,2026-02-28 03:06:51,Número,UF,Unidade Federativa,cirurgias_previstas_programa,data\filas\extracted\mgdi_agora_tem_especialistas_componente_cirurgias\cirurgias_previstas_no_programa_csv\pnrfcirpre.csv
