url,titulo
https://info.saude.df.gov.br/,Painéis Mais Acessados
https://info.saude.df.gov.br/,Painéis Adicionados Recentemente
https://info.saude.df.gov.br/,Em destaque
https://info.saude.df.gov.br/,Saúde do Cidadão
https://info.saude.df.gov.br/,Serviços de Emergência
https://info.saude.df.gov.br/,Fórmulas Nutricionais
https://info.saude.df.gov.br/,Medicamentos
https://info.saude.df.gov.br/,Serviços Regulados
https://info.saude.df.gov.br/,Mapa Social da Saúde
https://info.saude.df.gov.br/,Busca Saúde
https://info.saude.df.gov.br/,"Transparência e Prestação de Contas, Controle Social"
https://datasus.saude.gov.br/informacoes-de-saude-tabnet/,DATASUS
https://dadosabertos.saude.gov.br/,"Saúdepara todos,Dadospara todos"
https://dadosabertos.saude.gov.br/,Temas
https://dadosabertos.saude.gov.br/,Atualizações
https://dadosabertos.saude.gov.br/,Saiba mais
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Acesse por secretaria
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Atenção Primária (SAPS)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre Programa Mais Médicos
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Transferência de cidade Programa Mais Médicos
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Informações sobre os Agentes comunitários de saúde (ACS)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre Saúde Bucal
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Atenção Especializada à Saúde (SAES)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Acesso aos Sistemas de Informações de Saúde do SUS
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Acesso a informações da Tabela SIGTAP
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Fila de Espera de Cirurgias
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Tempo-resposta do SAMU
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Teto MAC
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Quantitativo de Leitos/Estabelecimentos de Saúde
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Ciência e Tecnologia em Saúde (SECTICS)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Parcerias para o Desenvolvimento Produtivo (PDP)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Acesso às atas e gravações de reuniões CONITEC
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Fila de espera da Farmácia Popular
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Aquisição de medicamento
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Saúde Digital (SEIDIGI)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Meu SUS Digital: dados de vacinação incompletos ou ausentes
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,"Meu SUS Digital: solicitação de acesso ao cartão de vacinação, incluindo o histórico completo de vacinação e alergias"
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Cartão Nacional de Saúde: emissão ou alteração devido a mudança de nome
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Acesso à API de Dados Abertos
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Comitê Gestor de Saúde Digital
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Trabalho e Educação na Saúde (SGTES)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,PISO DE ENFERMAGEM: Solicitação de acesso a valor destinado à CPF.
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,"PISO DE ENFERMAGEM: Solicitação de informações pessoais referentes ao Piso da Enfermagem, devido dificuldade de obtê-las junto ao Gestor do Município."
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Vigilância em Saúde e Ambiente (SVSA)
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre mortalidade
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre nascidos
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre agravos de notificações
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre arbovírus
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre vacinação
https://www.gov.br/saude/pt-br/acesso-a-informacao/sic/dados-em-transparencia-ativa,Dados sobre HIV e medicamentos para tratamento
https://transparencia.go.gov.br/saude/,Transparência Goiás
https://transparencia.go.gov.br/saude/,Saúde
https://web2.smsrio.org/minhasaudeRio/#/,"Aqui você pode acompanhar a evolução da oferta de vagas,"
https://web2.smsrio.org/minhasaudeRio/#/,"solicitações, tempo de espera e muito mais!"
